id	user	by	timestamp	expiry	duration-l10n	reason	nocreate	autoblock	noemail	allowusertalk	anononly	partial	wiki
28210	103.177.253.225	TheWikiholic	2025-09-04T01:47:17Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
28185	103.85.207.18	Ajeeshkumar4u	2025-08-18T04:44:06Z	2025-09-18T04:44:06Z	1 month	നശീകരണ പ്രവർത്തനം							mlwiki
28184	2409:40F3:1F:2D0A:68C8:1DE:60E7:8050	Kiran Gopi	2025-08-14T08:52:58Z	2025-11-14T08:52:58Z	3 months	താളിൽ നിന്നു വിവരങ്ങൾ മായ്ക്കുക							mlwiki
28183	103.175.89.41	TheWikiholic	2025-06-28T21:36:02Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
28177	106.205.161.123	Kiran Gopi	2025-05-09T13:27:30Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം							mlwiki
28164	78.149.250.223	Ranjithsiji	2025-03-29T05:53:21Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ: വ്യാപകമായ അനാവശ്യ വിവരം ചേർക്കൽ							mlwiki
28161	120.61.208.141	Vijayanrajapuram	2025-03-20T06:29:10Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
28160	117.250.237.126	Ajeeshkumar4u	2025-03-12T12:25:19Z	infinity	അനിശ്ചിത കാലം	തുടർച്ചയായി നിഷ്പക്ഷതാരഹിതമായതും താല്പര്യവ്യത്യാസമുള്ളതുമായ വിവരങ്ങൾ  ചേർക്കൽ: ഒരേ താൾ പല ഐഡികൾ/ ഐപികൾ എന്നിവയിൽ നിന്ന് തുടർച്ചയായി സൃഷ്ടിക്കുന്നു							mlwiki
28159	14.139.185.126	Ajeeshkumar4u	2025-03-12T07:57:21Z	infinity	അനിശ്ചിത കാലം	ദുരുദ്ദേശത്തോടെ ഉപയോഗിക്കുന്ന നിരവധി അംഗത്വങ്ങൾ: ഒരേ താൾ പല ഐഡികൾ/ ഐപികൾ എന്നിവയിൽ നിന്ന് തുടർച്ചയായി സൃഷ്ടിക്കുന്നു							mlwiki
28158	14.139.185.115	Ajeeshkumar4u	2025-03-12T07:53:08Z	infinity	അനിശ്ചിത കാലം	ദുരുദ്ദേശത്തോടെ ഉപയോഗിക്കുന്ന നിരവധി അംഗത്വങ്ങൾ: ഒരേ താൾ പല ഐഡികൾ/ ഐപികൾ എന്നിവയിൽ നിന്ന് തുടർച്ചയായി സൃഷ്ടിക്കുന്നു							mlwiki
