edit_timestamp	platform	edit_count
20130113	mobile web	4
20130409	mobile web	1
20130808	mobile web	1
20130809	mobile web	1
20130815	mobile web	1
20130816	mobile web	1
20130823	mobile web	4
20130825	mobile web	1
20130827	mobile web	1
20130829	mobile web	3
20130902	mobile web	1
20130903	mobile web	1
20130905	mobile web	3
20130912	mobile web	1
20130913	mobile web	2
20130916	mobile web	1
20130923	mobile web	3
20130924	mobile web	16
20130925	mobile web	4
20130926	mobile web	1
20130929	mobile web	9
20131002	mobile web	1
20131003	mobile web	4
20131006	mobile web	5
20131010	mobile web	2
20131011	mobile web	2
20131012	mobile web	1
20131013	mobile web	2
20131014	mobile web	1
20131017	mobile web	1
20131019	mobile web	2
20131020	mobile web	4
20131024	mobile web	1
20131025	mobile web	5
20131028	mobile web	1
20131030	mobile web	1
20131103	mobile web	1
20131105	mobile web	1
20131106	mobile web	2
20131107	mobile web	3
20131111	mobile web	3
20131113	mobile web	3
20131114	mobile web	5
20131115	mobile web	1
20131116	mobile web	1
20131117	mobile web	3
20131118	mobile web	4
20131119	mobile web	1
20131120	mobile web	1
20131121	mobile web	1
20131122	mobile web	1
20131123	mobile web	3
20131125	mobile web	2
20131126	mobile web	1
20131127	mobile web	2
20131128	mobile web	1
20131129	mobile web	1
20131130	mobile web	1
20131208	mobile web	3
20131209	mobile web	1
20131212	mobile web	1
20131213	mobile web	1
20131214	mobile web	2
20131218	mobile web	1
20131220	mobile web	1
20131221	mobile web	13
20131222	mobile web	3
20131225	mobile web	1
20131227	mobile web	1
20131228	mobile web	1
20131229	mobile web	4
20131230	mobile web	1
20140103	mobile web	1
20140104	mobile web	1
20140105	mobile web	10
20140106	mobile web	2
20140107	mobile web	1
20140108	mobile web	7
20140109	mobile web	17
20140110	mobile web	9
20140112	mobile web	3
20140114	mobile web	7
20140115	mobile web	1
20140116	mobile web	3
20140117	mobile web	2
20140120	mobile web	6
20140122	mobile web	1
20140123	mobile web	3
20140128	mobile web	3
20140129	mobile web	1
20140130	mobile web	2
20140201	mobile web	2
