edit_timestamp	platform	edit_count
20130327	mobile web	1
20130516	mobile web	1
20130609	mobile web	3
20130727	mobile web	2
20130730	mobile web	3
20130731	mobile web	2
20130826	mobile web	1
20130831	mobile web	2
20130907	mobile web	1
20130908	mobile web	1
20130917	mobile web	3
20130919	mobile web	1
20130930	mobile web	8
20131001	mobile web	3
20131002	mobile web	2
20131004	mobile web	2
20131008	mobile web	1
20131021	mobile web	1
20131024	mobile web	2
20131025	mobile web	11
20131030	mobile web	1
20131108	mobile web	1
20131109	mobile web	2
20131111	mobile web	1
20131113	mobile web	1
20131114	mobile web	1
20131119	mobile web	2
20131120	mobile web	7
20131121	mobile web	1
20131122	mobile web	7
20131123	mobile web	1
20131125	mobile web	2
20131129	mobile web	5
20131130	mobile web	6
20131201	mobile web	5
20131203	mobile web	4
20131204	mobile web	1
20131207	mobile web	12
20131208	mobile web	11
20131209	mobile web	1
20131213	mobile web	1
20131214	mobile web	1
20131218	mobile web	1
20131229	mobile web	5
20131231	mobile web	2
20140102	mobile web	1
20140103	mobile web	1
20140105	mobile web	3
20140115	mobile web	1
20140116	mobile web	1
20140121	mobile web	2
20140123	mobile web	4
20140124	mobile web	4
20140125	mobile web	6
20140126	mobile web	1
20140127	mobile web	6
20140128	mobile web	2
20140129	mobile web	5
20140130	mobile web	2
20140201	mobile web	3
20140202	mobile web	10
20140203	mobile web	5
20140204	mobile web	2
20140206	mobile web	1
20140209	mobile web	1
20140215	mobile web	1
20140216	mobile web	4
20140217	mobile web	1
20140225	mobile web	1
20140306	mobile web	1
20140307	mobile web	1
20140315	mobile web	1
20140316	mobile web	2
20140324	mobile web	8
20140325	mobile web	8
20140403	mobile web	6
20140416	mobile web	3
20140417	mobile web	40
20140418	mobile web	12
20140419	mobile web	4
20140420	mobile web	4
20140501	mobile web	9
20140502	mobile web	4
20140503	mobile web	6
20140505	mobile web	4
20140514	mobile web	2
20140527	mobile web	2
20140528	mobile web	1
20140602	mobile web	6
20140603	mobile web	5
20140614	mobile web	2
20140617	mobile web	13
20140619	mobile web	3
20140620	mobile web	1
20140622	mobile web	1
20140623	mobile web	1
20140624	mobile web	1
20140627	mobile web	1
20140628	mobile app	1
20140628	mobile web	2
20140701	mobile app	2
20140701	mobile web	2
20140704	mobile app	1
20140704	mobile web	4
20140705	mobile app	10
20140705	mobile web	11
20140707	mobile web	3
20140712	mobile app	1
20140712	mobile web	1
20140714	mobile app	1
20140714	mobile web	1
20140715	mobile web	1
20140716	mobile app	1
20140720	mobile app	10
20140720	mobile web	10
20140721	mobile app	1
20140721	mobile web	1
20140723	mobile app	2
20140723	mobile web	2
20140724	mobile app	2
20140724	mobile web	7
20140727	mobile app	1
20140727	mobile web	2
20140728	mobile app	1
20140728	mobile web	1
20140729	mobile app	1
20140729	mobile web	4
20140730	mobile web	1
20140801	mobile web	1
