edit_timestamp	platform	edit_count
20130223	mobile web	1
20130331	mobile web	1
20130729	mobile web	2
20130911	mobile web	1
20130920	mobile web	3
20130924	mobile web	1
20131007	mobile web	2
20131019	mobile web	1
20131028	mobile web	1
20131102	mobile web	1
20131106	mobile web	2
20131107	mobile web	2
20131120	mobile web	1
20131122	mobile web	5
20131125	mobile web	1
20131207	mobile web	1
20131210	mobile web	2
20131211	mobile web	4
20131219	mobile web	1
20140113	mobile web	1
20140121	mobile web	1
20140204	mobile web	3
20140206	mobile web	5
20140207	mobile web	1
20140214	mobile web	1
20140220	mobile web	1
20140225	mobile web	2
20140308	mobile web	1
20140310	mobile web	1
20140311	mobile web	3
20140312	mobile web	4
20140318	mobile web	1
20140319	mobile web	4
20140321	mobile web	1
20140328	mobile web	1
20140425	mobile web	4
20140426	mobile web	1
20140427	mobile web	1
20140518	mobile web	1
20140525	mobile web	1
20140527	mobile web	1
20140530	mobile web	2
20140602	mobile web	18
20140603	mobile web	3
20140604	mobile web	3
20140605	mobile web	9
20140606	mobile app	1
20140606	mobile web	1
20140607	mobile web	1
20140608	mobile web	1
20140610	mobile web	5
20140611	mobile web	1
20140616	mobile web	1
20140620	mobile web	1
20140622	mobile app	4
20140622	mobile web	4
20140623	mobile web	3
20140624	mobile app	2
20140624	mobile web	2
20140629	mobile web	1
20140630	mobile app	1
20140630	mobile web	1
20140707	mobile app	1
20140707	mobile web	1
20140710	mobile web	3
20140715	mobile web	2
20140716	mobile app	1
20140716	mobile web	1
20140718	mobile app	1
20140718	mobile web	1
20140719	mobile app	3
20140719	mobile web	3
20140721	mobile app	11
20140721	mobile web	11
20140722	mobile app	8
20140722	mobile web	8
20140723	mobile app	1
20140723	mobile web	1
20140724	mobile web	8
20140725	mobile app	3
20140725	mobile web	3
20140726	mobile app	1
20140726	mobile web	2
20140727	mobile app	1
20140727	mobile web	1
20140729	mobile app	2
20140729	mobile web	2
20140730	mobile web	1
20140803	mobile app	1
20140803	mobile web	6
20140805	mobile app	2
20140805	mobile web	3
20140807	mobile app	4
20140807	mobile web	4
20140808	mobile app	9
20140808	mobile web	9
20140810	mobile app	6
20140810	mobile web	10
20140812	mobile app	1
20140812	mobile web	2
20140814	mobile app	1
20140814	mobile web	1
20140815	mobile app	4
20140815	mobile web	4
20140816	mobile app	5
20140816	mobile web	5
20140817	mobile app	1
20140817	mobile web	1
20140818	mobile app	1
20140818	mobile web	3
20140819	mobile web	3
20140820	mobile web	3
20140822	mobile app	2
20140822	mobile web	2
20140823	mobile web	2
20140824	mobile app	18
20140824	mobile web	18
20140825	mobile app	4
20140825	mobile web	4
20140829	mobile app	2
20140829	mobile web	4
20140830	mobile app	1
20140830	mobile web	1
20140902	mobile app	4
20140902	mobile web	4
20140903	mobile app	1
20140903	mobile web	4
20140904	mobile app	3
20140904	mobile web	7
20140905	mobile app	7
20140905	mobile web	7
20140906	mobile web	1
20140907	mobile app	3
20140907	mobile web	3
20140908	mobile app	2
20140908	mobile web	2
20140909	mobile web	5
20140910	mobile app	2
20140910	mobile web	2
20140912	mobile app	2
20140912	mobile web	8
20140913	mobile web	6
20140914	mobile web	1
20140915	mobile app	2
20140915	mobile web	2
20140916	mobile web	1
20140917	mobile app	1
20140917	mobile web	1
20140919	mobile web	5
20140920	mobile app	1
20140920	mobile web	2
20140921	mobile app	1
20140921	mobile web	1
20140925	mobile app	7
20140925	mobile web	8
20140928	mobile app	1
20140928	mobile web	4
20140929	mobile app	2
20140929	mobile web	3
20140930	mobile app	1
20140930	mobile web	1
20141002	mobile web	1
20141003	mobile app	1
20141003	mobile web	1
20141004	mobile app	15
20141004	mobile web	38
20141005	mobile app	2
20141005	mobile web	2
20141007	mobile app	1
20141007	mobile web	2
20141009	mobile app	3
20141009	mobile web	3
20141010	mobile app	2
20141010	mobile web	5
20141012	mobile app	1
20141012	mobile web	10
20141013	mobile web	8
20141014	mobile web	3
20141015	mobile web	3
20141016	mobile app	2
20141016	mobile web	3
20141018	mobile web	2
20141021	mobile web	3
20141022	mobile web	13
20141023	mobile app	2
20141023	mobile web	8
20141024	mobile web	11
20141025	mobile app	9
20141025	mobile web	23
20141026	mobile app	4
20141026	mobile web	20
20141027	mobile app	3
20141027	mobile web	3
20141028	mobile web	2
20141029	mobile app	2
20141029	mobile web	11
20141030	mobile web	15
20141031	mobile app	1
20141031	mobile web	19
20141101	mobile web	6
20141102	mobile app	1
20141102	mobile web	2
20141103	mobile app	3
20141103	mobile web	3
20141104	mobile web	3
20141105	mobile app	6
20141105	mobile web	15
20141106	mobile app	3
20141106	mobile web	4
20141107	mobile app	2
20141107	mobile web	2
20141108	mobile app	4
20141108	mobile web	4
20141109	mobile web	1
20141110	mobile web	1
20141111	mobile app	3
20141111	mobile web	3
20141112	mobile web	5
20141113	mobile app	2
20141113	mobile web	4
20141115	mobile web	3
20141118	mobile app	2
20141118	mobile web	3
20141119	mobile app	1
20141119	mobile web	1
20141120	mobile app	1
20141120	mobile web	4
20141121	mobile web	15
20141122	mobile app	2
20141122	mobile web	2
20141123	mobile app	5
20141123	mobile web	9
20141124	mobile web	3
20141125	mobile app	1
20141125	mobile web	4
20141126	mobile app	7
20141126	mobile web	10
20141127	mobile app	4
20141127	mobile web	10
20141128	mobile app	2
20141128	mobile web	2
20141129	mobile app	3
20141129	mobile web	5
20141201	mobile app	1
20141201	mobile web	2
20141202	mobile app	4
20141202	mobile web	4
20141203	mobile web	2
20141204	mobile app	1
20141204	mobile web	5
20141206	mobile app	9
20141206	mobile web	9
20141207	mobile app	1
20141207	mobile web	1
20141208	mobile web	5
20141210	mobile app	4
20141210	mobile web	4
20141211	mobile web	2
20141213	mobile app	1
20141213	mobile web	7
20141214	mobile app	2
20141214	mobile web	4
20141215	mobile web	4
20141216	mobile web	2
20141217	mobile web	2
20141218	mobile app	1
20141218	mobile web	2
20141220	mobile web	1
20141221	mobile app	4
20141221	mobile web	4
20141222	mobile app	13
20141222	mobile web	15
20141224	mobile app	2
20141224	mobile web	15
20141226	mobile web	3
20141227	mobile web	2
20141228	mobile app	1
20141228	mobile web	1
20141229	mobile web	4
20141231	mobile app	1
20141231	mobile web	1
20150101	mobile app	1
20150101	mobile web	1
20150102	mobile app	1
20150102	mobile web	2
20150103	mobile app	10
20150103	mobile web	21
20150104	mobile app	1
20150104	mobile web	1
20150105	mobile app	3
20150105	mobile web	3
20150106	mobile app	8
20150106	mobile web	9
20150107	mobile web	2
20150108	mobile app	2
20150108	mobile web	5
20150109	mobile app	2
20150109	mobile web	7
20150110	mobile web	12
20150111	mobile web	1
20150112	mobile app	1
20150112	mobile web	2
20150114	mobile web	1
20150115	mobile app	2
20150115	mobile web	2
20150116	mobile app	7
20150116	mobile web	7
20150117	mobile web	16
20150118	mobile web	1
20150119	mobile app	1
20150119	mobile web	2
20150120	mobile app	1
20150120	mobile web	1
20150121	mobile app	2
20150121	mobile web	2
20150122	mobile app	2
20150122	mobile web	3
20150123	mobile app	6
20150123	mobile web	8
20150124	mobile app	2
20150124	mobile web	14
20150125	mobile app	1
20150125	mobile web	1
20150126	mobile app	9
20150126	mobile web	10
20150127	mobile app	5
20150127	mobile web	5
20150128	mobile app	2
20150128	mobile web	8
20150129	mobile app	4
20150129	mobile web	5
20150130	mobile app	7
20150130	mobile web	8
20150131	mobile web	5
20150201	mobile app	7
20150201	mobile web	9
20150202	mobile app	6
20150202	mobile web	18
20150203	mobile app	2
20150203	mobile web	3
20150204	mobile app	1
20150204	mobile web	3
20150206	mobile app	3
20150206	mobile web	3
20150208	mobile app	4
20150208	mobile web	4
20150211	mobile app	10
20150211	mobile web	10
20150212	mobile web	6
20150213	mobile app	3
20150213	mobile web	5
20150214	mobile web	2
20150215	mobile app	2
20150215	mobile web	3
20150216	mobile web	2
20150217	mobile app	3
20150217	mobile web	3
20150218	mobile app	5
20150218	mobile web	5
20150221	mobile app	2
20150221	mobile web	4
20150222	mobile app	1
20150222	mobile web	3
20150223	mobile web	1
20150224	mobile app	1
20150224	mobile web	1
20150227	mobile web	8
20150228	mobile app	1
20150228	mobile web	8
20150301	mobile web	5
20150302	mobile app	2
20150302	mobile web	9
20150305	mobile app	13
