edit_month	edit_tool	edit_count
2015-01	contenttranslation	0
2015-01	sectiontranslation	0
2015-01	visualeditor	37
2015-01	wikitext	0
2015-02	contenttranslation	0
2015-02	sectiontranslation	0
2015-02	visualeditor	164
2015-02	wikitext	0
2015-03	contenttranslation	0
2015-03	sectiontranslation	0
2015-03	visualeditor	70
2015-03	wikitext	0
2015-04	contenttranslation	0
2015-04	sectiontranslation	0
2015-04	visualeditor	213
2015-04	wikitext	0
2015-05	contenttranslation	11
2015-05	sectiontranslation	0
2015-05	visualeditor	56
2015-05	wikitext	0
2015-06	contenttranslation	22
2015-06	sectiontranslation	0
2015-06	visualeditor	57
2015-06	wikitext	0
2015-07	contenttranslation	11
2015-07	sectiontranslation	0
2015-07	visualeditor	67
2015-07	wikitext	0
2015-08	contenttranslation	18
2015-08	sectiontranslation	0
2015-08	visualeditor	62
2015-08	wikitext	0
2015-09	contenttranslation	27
2015-09	sectiontranslation	0
2015-09	visualeditor	99
2015-09	wikitext	0
2015-10	contenttranslation	20
2015-10	sectiontranslation	0
2015-10	visualeditor	70
2015-10	wikitext	0
2015-11	contenttranslation	40
2015-11	sectiontranslation	0
2015-11	visualeditor	55
2015-11	wikitext	0
2015-12	contenttranslation	58
2015-12	sectiontranslation	0
2015-12	visualeditor	86
2015-12	wikitext	0
2016-01	contenttranslation	47
2016-01	sectiontranslation	0
2016-01	visualeditor	238
2016-01	wikitext	0
2016-02	contenttranslation	15
2016-02	sectiontranslation	0
2016-02	visualeditor	228
2016-02	wikitext	0
2016-03	contenttranslation	18
2016-03	sectiontranslation	0
2016-03	visualeditor	119
2016-03	wikitext	0
2016-04	contenttranslation	21
2016-04	sectiontranslation	0
2016-04	visualeditor	98
2016-04	wikitext	0
2016-05	contenttranslation	50
2016-05	sectiontranslation	0
2016-05	visualeditor	152
2016-05	wikitext	0
2016-06	contenttranslation	13
2016-06	sectiontranslation	0
2016-06	visualeditor	202
2016-06	wikitext	0
2016-07	contenttranslation	55
2016-07	sectiontranslation	0
2016-07	visualeditor	187
2016-07	wikitext	0
2016-08	contenttranslation	121
2016-08	sectiontranslation	0
2016-08	visualeditor	175
2016-08	wikitext	0
2016-09	contenttranslation	33
2016-09	sectiontranslation	0
2016-09	visualeditor	603
2016-09	wikitext	0
2016-10	contenttranslation	28
2016-10	sectiontranslation	0
2016-10	visualeditor	506
2016-10	wikitext	0
2016-11	contenttranslation	40
2016-11	sectiontranslation	0
2016-11	visualeditor	1026
2016-11	wikitext	0
2016-12	contenttranslation	37
2016-12	sectiontranslation	0
2016-12	visualeditor	880
2016-12	wikitext	0
2017-01	contenttranslation	65
