edit_month	edit_tool	edit_count
2015-01	contenttranslation	0
2015-01	sectiontranslation	0
2015-01	visualeditor	5
2015-01	wikitext	0
2015-02	contenttranslation	0
2015-02	sectiontranslation	0
2015-02	visualeditor	0
2015-02	wikitext	0
2015-03	contenttranslation	0
2015-03	sectiontranslation	0
2015-03	visualeditor	3
2015-03	wikitext	0
2015-04	contenttranslation	0
2015-04	sectiontranslation	0
2015-04	visualeditor	5
2015-04	wikitext	0
2015-05	contenttranslation	0
2015-05	sectiontranslation	0
2015-05	visualeditor	0
2015-05	wikitext	0
2015-06	contenttranslation	0
2015-06	sectiontranslation	0
2015-06	visualeditor	0
2015-06	wikitext	0
2015-07	contenttranslation	0
2015-07	sectiontranslation	0
2015-07	visualeditor	9
2015-07	wikitext	0
2015-08	contenttranslation	0
2015-08	sectiontranslation	0
2015-08	visualeditor	32
2015-08	wikitext	0
2015-09	contenttranslation	0
2015-09	sectiontranslation	0
2015-09	visualeditor	5
2015-09	wikitext	0
2015-10	contenttranslation	0
2015-10	sectiontranslation	0
2015-10	visualeditor	22
2015-10	wikitext	0
2015-11	contenttranslation	0
2015-11	sectiontranslation	0
2015-11	visualeditor	2
2015-11	wikitext	0
2015-12	contenttranslation	0
2015-12	sectiontranslation	0
2015-12	visualeditor	0
2015-12	wikitext	0
2016-01	contenttranslation	0
2016-01	sectiontranslation	0
2016-01	visualeditor	1
2016-01	wikitext	0
2016-02	contenttranslation	0
2016-02	sectiontranslation	0
2016-02	visualeditor	4
2016-02	wikitext	0
2016-03	contenttranslation	0
2016-03	sectiontranslation	0
2016-03	visualeditor	4
2016-03	wikitext	0
2016-04	contenttranslation	0
2016-04	sectiontranslation	0
2016-04	visualeditor	3
2016-04	wikitext	0
2016-05	contenttranslation	0
2016-05	sectiontranslation	0
2016-05	visualeditor	6
2016-05	wikitext	0
2016-06	contenttranslation	0
2016-06	sectiontranslation	0
2016-06	visualeditor	0
2016-06	wikitext	0
2016-07	contenttranslation	0
2016-07	sectiontranslation	0
2016-07	visualeditor	1
2016-07	wikitext	0
2016-08	contenttranslation	0
2016-08	sectiontranslation	0
2016-08	visualeditor	2
2016-08	wikitext	0
2016-09	contenttranslation	0
2016-09	sectiontranslation	0
2016-09	visualeditor	5
2016-09	wikitext	0
2016-10	contenttranslation	1
2016-10	sectiontranslation	0
2016-10	visualeditor	3
2016-10	wikitext	0
2016-11	contenttranslation	0
2016-11	sectiontranslation	0
2016-11	visualeditor	4
2016-11	wikitext	0
2016-12	contenttranslation	0
2016-12	sectiontranslation	0
2016-12	visualeditor	2
2016-12	wikitext	0
2017-01	contenttranslation	1
