edit_month	edit_tool	edit_count
2015-01	contenttranslation	0
2015-01	sectiontranslation	0
2015-01	visualeditor	29
2015-01	wikitext	0
2015-02	contenttranslation	0
2015-02	sectiontranslation	0
2015-02	visualeditor	16
2015-02	wikitext	0
2015-03	contenttranslation	0
2015-03	sectiontranslation	0
2015-03	visualeditor	90
2015-03	wikitext	0
2015-04	contenttranslation	0
2015-04	sectiontranslation	0
2015-04	visualeditor	49
2015-04	wikitext	0
2015-05	contenttranslation	0
2015-05	sectiontranslation	0
2015-05	visualeditor	33
2015-05	wikitext	0
2015-06	contenttranslation	101
2015-06	sectiontranslation	0
2015-06	visualeditor	51
2015-06	wikitext	0
2015-07	contenttranslation	15
2015-07	sectiontranslation	0
2015-07	visualeditor	25
2015-07	wikitext	0
2015-08	contenttranslation	12
2015-08	sectiontranslation	0
2015-08	visualeditor	118
2015-08	wikitext	0
2015-09	contenttranslation	59
2015-09	sectiontranslation	0
2015-09	visualeditor	169
2015-09	wikitext	0
2015-10	contenttranslation	30
2015-10	sectiontranslation	0
2015-10	visualeditor	38
2015-10	wikitext	0
2015-11	contenttranslation	6
2015-11	sectiontranslation	0
2015-11	visualeditor	36
2015-11	wikitext	0
2015-12	contenttranslation	24
2015-12	sectiontranslation	0
2015-12	visualeditor	48
2015-12	wikitext	0
2016-01	contenttranslation	23
2016-01	sectiontranslation	0
2016-01	visualeditor	36
2016-01	wikitext	0
2016-02	contenttranslation	22
2016-02	sectiontranslation	0
2016-02	visualeditor	29
2016-02	wikitext	0
2016-03	contenttranslation	127
2016-03	sectiontranslation	0
2016-03	visualeditor	54
2016-03	wikitext	0
2016-04	contenttranslation	144
2016-04	sectiontranslation	0
2016-04	visualeditor	67
2016-04	wikitext	0
2016-05	contenttranslation	26
2016-05	sectiontranslation	0
2016-05	visualeditor	219
2016-05	wikitext	0
2016-06	contenttranslation	77
2016-06	sectiontranslation	0
2016-06	visualeditor	382
2016-06	wikitext	0
2016-07	contenttranslation	637
2016-07	sectiontranslation	0
2016-07	visualeditor	345
2016-07	wikitext	0
2016-08	contenttranslation	485
2016-08	sectiontranslation	0
2016-08	visualeditor	583
2016-08	wikitext	0
2016-09	contenttranslation	277
2016-09	sectiontranslation	0
2016-09	visualeditor	455
2016-09	wikitext	0
2016-10	contenttranslation	169
2016-10	sectiontranslation	0
2016-10	visualeditor	701
2016-10	wikitext	0
2016-11	contenttranslation	257
2016-11	sectiontranslation	0
2016-11	visualeditor	1086
2016-11	wikitext	0
2016-12	contenttranslation	231
2016-12	sectiontranslation	0
2016-12	visualeditor	713
2016-12	wikitext	0
2017-01	contenttranslation	167
