year	month	talk_page_type	edit_count
2003	7	User Talk	11
2003	8	Article Talk	3
2003	8	User Talk	7
2003	12	Article Talk	3
2003	12	User Talk	2
2004	2	User Talk	1
2004	3	User Talk	3
2004	5	User Talk	4
2004	6	Article Talk	6
2004	6	User Talk	4
2004	7	Article Talk	1
2004	7	User Talk	23
2004	8	Article Talk	3
2004	8	User Talk	12
2004	9	User Talk	9
2004	10	Article Talk	2
2004	10	User Talk	13
2004	11	User Talk	17
2004	12	Article Talk	6
2004	12	User Talk	10
2005	1	Article Talk	5
2005	2	Article Talk	4
2005	2	User Talk	4
2005	3	User Talk	3
2005	4	Article Talk	3
2005	4	Project Talk	1
2005	4	User Talk	3
2005	5	Article Talk	3
2005	5	User Talk	2
2005	6	Article Talk	1
2005	6	User Talk	7
2005	7	Article Talk	1
2005	7	User Talk	3
2005	8	Article Talk	4
2005	8	User Talk	5
2005	9	Article Talk	5
2005	9	User Talk	1
2005	10	Article Talk	6
2005	10	Project Talk	1
2005	10	User Talk	5
2005	11	Article Talk	4
2005	11	Project Talk	2
2005	11	User Talk	2
2005	12	Article Talk	3
2005	12	User Talk	20
2006	1	Article Talk	2
2006	1	User Talk	46
2006	2	Article Talk	8
2006	2	User Talk	26
2006	3	Article Talk	8
2006	3	User Talk	21
2006	4	Article Talk	14
2006	4	Project Talk	2
2006	4	User Talk	32
2006	5	Article Talk	13
2006	5	User Talk	19
2006	6	Article Talk	11
2006	6	Project Talk	10
2006	6	User Talk	202
2006	7	Article Talk	38
2006	7	Project Talk	3
2006	7	User Talk	53
2006	8	Article Talk	49
2006	8	Project Talk	5
2006	8	User Talk	59
2006	9	Article Talk	19
2006	9	Project Talk	4
2006	9	User Talk	33
2006	10	Article Talk	60
2006	10	Project Talk	3
2006	10	User Talk	212
2006	11	Article Talk	18
2006	11	Project Talk	7
2006	11	User Talk	136
2006	12	Article Talk	36
2006	12	Project Talk	57
2006	12	User Talk	101
2007	1	Article Talk	72
2007	1	Project Talk	27
2007	1	User Talk	246
2007	2	Article Talk	75
2007	2	Project Talk	39
2007	2	User Talk	384
2007	3	Article Talk	93
2007	3	Project Talk	29
2007	3	User Talk	432
2007	4	Article Talk	59
2007	4	Project Talk	20
2007	4	User Talk	266
2007	5	Article Talk	39
2007	5	Project Talk	22
2007	5	User Talk	194
2007	6	Article Talk	24
2007	6	Project Talk	16
2007	6	User Talk	155
2007	7	Article Talk	40
2007	7	Project Talk	8
2007	7	User Talk	229
2007	8	Article Talk	21
2007	8	Project Talk	4
2007	8	User Talk	176
