year	month	talk_page_type	edit_count
2003	4	Article Talk	2
2003	5	Article Talk	25
2003	5	User Talk	13
2003	6	Article Talk	3
2003	8	Article Talk	1
2003	9	Article Talk	1
2003	11	User Talk	1
2003	12	User Talk	2
2004	2	Article Talk	2
2004	6	User Talk	1
2004	8	Article Talk	5
2004	8	User Talk	1
2004	9	Article Talk	1
2004	9	User Talk	3
2004	10	User Talk	3
2004	11	Article Talk	4
2004	11	User Talk	9
2004	12	Article Talk	6
2004	12	User Talk	17
2005	1	User Talk	1
2005	2	Article Talk	8
2005	2	User Talk	3
2005	4	User Talk	2
2005	5	Article Talk	2
2005	5	User Talk	5
2005	6	User Talk	6
2005	7	Article Talk	2
2005	7	User Talk	3
2005	8	Article Talk	9
2005	8	User Talk	4
2005	9	Article Talk	15
2005	9	Project Talk	1
2005	9	User Talk	15
2005	10	Article Talk	9
2005	10	User Talk	9
2005	11	Article Talk	5
2005	11	Project Talk	2
2005	11	User Talk	21
2005	12	Article Talk	8
2005	12	Project Talk	2
2005	12	User Talk	40
2006	1	Article Talk	24
2006	1	Project Talk	5
2006	1	User Talk	55
2006	2	Article Talk	23
2006	2	Project Talk	3
2006	2	User Talk	26
2006	3	Article Talk	18
2006	3	User Talk	32
2006	4	Article Talk	4
2006	4	Project Talk	2
2006	4	User Talk	23
2006	5	Article Talk	10
2006	5	User Talk	38
2006	6	Article Talk	41
2006	6	Project Talk	3
2006	6	User Talk	67
2006	7	Article Talk	15
2006	7	Project Talk	10
2006	7	User Talk	100
2006	8	Article Talk	178
2006	8	User Talk	129
2006	9	Article Talk	34
2006	9	Project Talk	15
2006	9	User Talk	163
2006	10	Article Talk	150
2006	10	Project Talk	40
2006	10	User Talk	348
2006	11	Article Talk	178
2006	11	Project Talk	32
2006	11	User Talk	233
2006	12	Article Talk	216
2006	12	Project Talk	85
2006	12	User Talk	511
2007	1	Article Talk	196
2007	1	Project Talk	47
2007	1	User Talk	430
2007	2	Article Talk	206
2007	2	Project Talk	36
2007	2	User Talk	252
2007	3	Article Talk	548
2007	3	Project Talk	32
2007	3	User Talk	444
2007	4	Article Talk	542
2007	4	Project Talk	44
2007	4	User Talk	391
2007	5	Article Talk	483
