year	month	talk_page_type	edit_count
2004	11	Article Talk	3
2004	11	User Talk	2
2004	12	Article Talk	36
2004	12	Project Talk	1
2004	12	User Talk	3
2005	1	Article Talk	1
2005	1	User Talk	1
2005	3	Article Talk	2
2005	4	Article Talk	1
2005	4	User Talk	5
2005	5	Article Talk	3
2005	6	Article Talk	3
2005	6	User Talk	5
2005	7	Article Talk	10
2005	7	Project Talk	4
2005	7	User Talk	13
2005	8	Article Talk	58
2005	8	Project Talk	23
2005	8	User Talk	81
2005	9	Article Talk	36
2005	9	Project Talk	12
2005	9	User Talk	48
2005	10	Article Talk	17
2005	10	User Talk	56
2005	11	Article Talk	56
2005	11	User Talk	103
2005	12	Article Talk	57
2005	12	Project Talk	3
2005	12	User Talk	78
2006	1	Article Talk	83
2006	1	User Talk	101
2006	2	Article Talk	33
2006	2	User Talk	40
2006	3	Article Talk	33
2006	3	Project Talk	15
2006	3	User Talk	82
2006	4	Article Talk	37
2006	4	Project Talk	7
2006	4	User Talk	80
2006	5	Article Talk	29
2006	5	Project Talk	1
2006	5	User Talk	80
2006	6	Article Talk	27
2006	6	Project Talk	6
2006	6	User Talk	69
2006	7	Article Talk	23
2006	7	Project Talk	7
2006	7	User Talk	65
2006	8	Article Talk	46
2006	8	Project Talk	1
2006	8	User Talk	67
2006	9	Article Talk	111
2006	9	Project Talk	10
2006	9	User Talk	164
2006	10	Article Talk	54
2006	10	Project Talk	3
2006	10	User Talk	133
2006	11	Article Talk	112
2006	11	Project Talk	6
2006	11	User Talk	1116
2006	12	Article Talk	161
2006	12	Project Talk	7
2006	12	User Talk	255
2007	1	Article Talk	84
2007	1	Project Talk	7
2007	1	User Talk	229
2007	2	Article Talk	156
2007	2	Project Talk	16
2007	2	User Talk	177
2007	3	Article Talk	151
2007	3	Project Talk	9
2007	3	User Talk	191
2007	4	Article Talk	123
2007	4	Project Talk	12
2007	4	User Talk	327
2007	5	Article Talk	7158
2007	5	Project Talk	20
2007	5	User Talk	1992
2007	6	Article Talk	721
2007	6	Project Talk	54
2007	6	User Talk	728
2007	7	Article Talk	257
2007	7	Project Talk	18
2007	7	User Talk	454
2007	8	Article Talk	713
2007	8	Project Talk	36
2007	8	User Talk	558
2007	9	Article Talk	499
2007	9	Project Talk	37
2007	9	User Talk	427
2007	10	Article Talk	518
2007	10	Project Talk	15
2007	10	User Talk	436
2007	11	Article Talk	217
2007	11	Project Talk	4
2007	11	User Talk	231
2007	12	Article Talk	137
2007	12	Project Talk	4
2007	12	User Talk	244
2008	1	Article Talk	164
2008	1	Project Talk	9
2008	1	User Talk	303
2008	2	Article Talk	261
2008	2	Project Talk	18
2008	2	User Talk	3042
2008	3	Article Talk	440
2008	3	Project Talk	51
2008	3	User Talk	888
2008	4	Article Talk	354
2008	4	Project Talk	26
2008	4	User Talk	710
2008	5	Article Talk	325
2008	5	Project Talk	4
2008	5	User Talk	469
2008	6	Article Talk	194
2008	6	Project Talk	25
2008	6	User Talk	334
2008	7	Article Talk	166
2008	7	Project Talk	4
2008	7	User Talk	271
2008	8	Article Talk	204
2008	8	Project Talk	3
2008	8	User Talk	247
