month_year	username	edits
2013-03	Pranayraj1985	247683
2012-12	యర్రా రామారావు	224200
2017-10	ChaduvariAWBNew	214979
2012-01	Nrgullapalli	207601
2011-04	Bhaskaranaidu	202848
2010-09	JVRKPRASAD	200083
2018-09	Batthini Vinay Kumar Goud	171559
2012-10	K.Venkataramana	154813
2005-07	Chaduvari	100542
2007-06	Rajasekhar1961	91212
2019-09	InternetArchiveBot	90728
2010-04	స్వరలాసిక	85485
2007-06	Arjunaraoc	78478
2006-08	T.sujatha	78171
2020-01	Yarra RamaraoAWB	75701
2013-03	RahmanuddinBot	59910
2011-01	Palagiri	48596
2013-04	శ్రీరామమూర్తి	47667
2013-12	Pavan santhosh.s	41069
2016-08	ChaduvariAWB	38698
2007-09	రవిచంద్ర	37755
2007-10	C.Chandra Kanth Rao	37113
2005-04	వైజాసత్య	34874
2011-10	YVSREDDY	33678
2021-05	Muralikrishna m	31995
2006-07	కాసుబాబు	27798
2010-06	EmausBot	24724
2021-04	Divya4232	23503
2007-03	TXiKiBoT	22864
2009-07	సుల్తాన్ ఖాదర్	20873
2023-08	Kopparthi janardhan1965	18917
2018-06	Ch Maheswara Raju	17730
2007-11	Ahmed Nisar	17288
2007-07	B.K.Viswanadh	17038
2011-04	MerlIwBot	14691
2022-07	Pravallika16	13728
2007-09	SieBot	13037
2020-12	Nskjnv	11674
2009-04	Veera.sj	11487
2017-02	Nagarani Bethi	11209
2016-03	Ajaybanbi	11008
2007-01	VolkovBot	10871
2022-03	RATHOD SRAVAN	10778
2014-02	Meena gayathri.s	10689
2022-07	V Bhavya	10268
2014-02	MediaWiki message delivery	9050
2005-04	Mpradeep	8991
2023-02	రుద్రుడు చెచ్క్వికి	8707
2011-01	రహ్మానుద్దీన్	8383
2015-03	Vmakumar	7943
2024-02	CampWiz Bot	7935
2020-11	Inquisitive creature	7863
2016-08	K.Venkataramana.AWB	7753
2006-10	Nrahamthulla	7716
2006-09	CommonsDelinker	7469
2009-04	ArthurBot	6969
2021-02	MYADAM ABHILASH	6380
2015-01	en>DePiep	6361
2014-05	Praveen Grao	6278
2007-08	Kprsastry	6062
2006-12	Kasyap	5964
2015-04	ప్రభాకర్ గౌడ్ నోముల	5745
2015-01	Gokulellanki	5667
2008-03	MelancholieBot	5181
2010-09	WikitanvirBot	5080
2021-02	Tmamatha	4887
2013-09	en>Frietjes	4709
2004-11	Vemurione	4699
2007-05	S172142230149	4694
2021-06	Thirumalgoud	4612
2017-04	117.203.110.33	4432
2022-10	Mothiram 123	4417
2020-07	Prasharma681	4346
2010-10	ZéroBot	4252
2023-08	ఉదయ్ కిరణ్	4134
2008-02	Talapagala VB Raju	4088
2007-10	Dev	3798
2014-04	Vjsuseela	3709
2006-02	Veeven	3576
2019-06	KINNERA ARAVIND	3571
2008-03	Vu3ktb	3370
2007-07	AlleborgoBot	3321
2009-08	FoxBot	3321
2013-01	Mr. Stradivarius	3245
2008-02	en>Andrwsc	3048
2015-02	దిగవల్లి రామచంద్ర	3023
2015-04	Maintenance script	3007
2017-11	en>Trappist the monk	2920
2004-12	Chavakiran	2784
2009-08	TobeBot	2699
2013-11	Katta Srinivasa Rao	2688
2007-10	DragonBot	2521
2018-01	en>Primefac	2500
2011-12	DePiep	2400
2008-02	Sai2020	2337
2007-06	Loveless	2262
2024-03	Saiphani02	2256
2021-07	Kalasagary	2232
2010-10	WOSlinker	2224
2013-08	Fredddie	2178
2021-05	డా. గన్నవరపు నరసింహమూర్తి	2176
2010-08	en>Number 57	2167
2013-11	Naidugari Jayanna	2139
2025-03	Jrkp	2081
2017-01	en>Jonesey95	2013
2011-10	imported>Jimp	1972
2009-06	జయంత్ కుమార్	1914
2010-10	en>WOSlinker	1865
2013-03	భూపతిరాజు రమేష్ రాజు	1851
2009-11	TjBot	1838
2012-11	Adityamadhav83	1812
2009-12	MastiBot	1800
2015-12	KingDiggi	1787
2008-02	Bojja	1777
2010-07	KamikazeBot	1772
2007-03	Kumarrao	1748
2017-07	en>Illegitimate Barrister	1746
2009-09	en>Pigsonthewing	1725
2009-08	Rich Farmbrough	1725
2014-10	en>Paine Ellsworth	1692
2004-01	MediaWiki default	1672
2013-12	కార్తీక రాజు	1636
2011-09	Sridhar1000	1635
2009-08	RedBot	1621
2007-05	BotMultichill	1603
2024-12	Yaswanthgadu.21	1603
2019-07	Winman Emotions	1565
2009-07	Mukteshvari	1559
2010-10	en>Plastikspork	1556
2014-01	Hydkarthik	1541
2011-08	Kwamikagami	1529
2012-07	Frietjes	1498
2011-02	en>Smith609	1465
2012-11	Visdaviva	1458
2006-09	Chittella	1419
2011-05	en>Peter coxhead	1380
2013-02	Veera Narayana	1374
2021-03	PARALA NAGARAJU	1304
2009-10	Redaloes	1290
2014-04	Shankar1242	1270
2006-09	Gsnaveen	1268
2025-05	BvprasadAWB	1255
2010-10	Plastikspork	1244
2014-06	en>MSGJ	1226
2005-12	Trivikram	1203
2011-11	AngajalaARS	1202
2010-01	MSGJ	1186
2022-01	Purushotham9966	1175
2014-03	Vijayaviswanadh	1168
2010-06	HRoestBot	1163
2009-04	LaaknorBot	1156
2012-07	en>Izno	1155
2010-01	en>SMcCandlish	1154
2007-08	PipepBot	1141
2012-06	en>Thumperward	1133
2011-06	Sameboat	1129
2022-10	Kiran sidam	1110
2023-06	Naidu999	1104
2011-03	Ripchip Bot	1096
2007-01	en>Ligulem	1092
2011-05	PAPA RAO KVSKS	1088
2017-10	en>Pppery	1079
2008-11	TinucherianBot II	1063
2015-06	Vin09	1063
2022-09	Varaprasad Sidam	1049
2011-07	en>Buaidh	1033
2010-02	Andrwsc	1032
2010-07	imported>Gadget850	1024
2007-08	imported>Caroig	1010
2013-11	Rasulnrasul	1003
2009-03	en>Rich Farmbrough	1001
2016-01	I.Mahesh	995
2011-07	AvocatoBot	990
2008-02	Purbo T	988
2010-07	JackieBot	986
2007-12	en>East718	984
2007-07	Viggu	979
