Edit_Date	reverted_edits
2006-01-03	2
2006-01-12	4
2006-01-19	2
2007-04-12	1
2008-02-10	1
2008-05-20	1
2008-09-15	1
2009-03-16	1
2009-04-04	1
2009-04-18	1
2009-07-26	1
2009-08-05	1
2009-08-22	1
2009-10-03	5
2009-11-23	1
2010-02-27	2
2010-03-10	1
2010-03-23	1
2010-05-01	2
2010-06-11	1
2010-07-28	1
2010-07-30	1
2010-07-31	5
2010-08-21	1
2011-02-08	1
2011-07-02	1
2011-07-27	1
2011-08-17	1
2011-12-07	1
2011-12-18	1
2011-12-26	1
2012-01-23	1
2012-03-17	1
2012-03-31	1
2012-04-11	1
2012-04-21	6
2012-04-30	1
2012-05-24	1
2012-07-08	1
2012-07-11	1
2012-07-27	1
2012-10-20	1
2012-11-04	2
2013-02-14	4
2013-02-15	1
2013-03-11	1
2013-06-19	1
2013-10-29	1
2014-01-11	1
2014-02-26	1
2014-03-06	3
2014-04-01	1
2014-04-03	1
2014-04-14	2
2014-06-23	1
2014-08-31	1
2014-09-19	1
2014-11-11	1
2014-11-22	1
2014-12-27	5
2015-01-09	1
2015-04-09	2
2015-05-27	1
2015-05-28	1
2015-06-15	2
2015-08-22	1
2015-09-08	1
2015-09-10	1
2015-09-15	1
2015-09-16	2
2015-09-19	1
2015-10-05	1
2015-10-13	1
2015-10-16	4
2015-10-20	1
2015-11-18	3
2015-11-19	4
2015-11-20	3
2015-11-21	8
2015-11-22	1
2015-11-23	2
2015-11-25	1
2015-12-19	1
2016-01-14	3
2016-01-15	1
2016-01-16	6
2016-01-26	1
2016-02-02	1
2016-02-13	2
2016-02-20	6
2016-02-25	2
2016-03-10	3
2016-03-12	1
2016-03-26	1
2016-04-02	1
2016-05-06	2
2016-06-02	1
2016-06-20	6
2016-06-27	1
2016-07-03	3
2016-07-09	1
2016-08-09	1
2016-08-13	1
2016-08-20	1
2016-09-15	2
2016-09-16	1
2016-09-24	2
2016-10-18	1
2016-10-21	1
2016-11-01	1
2016-11-03	1
2016-11-05	1
2016-11-07	2
2016-11-09	1
2016-11-14	1
2016-11-22	1
2016-11-29	2
2016-12-08	3
2016-12-11	1
2016-12-22	1
2016-12-28	2
2017-01-01	3
2017-01-15	1
2017-01-21	4
2017-01-23	1
2017-01-24	1
2017-01-28	3
2017-01-29	3
2017-02-03	2
2017-02-04	2
2017-02-05	1
2017-02-08	1
2017-02-09	2
2017-02-10	2
2017-02-14	2
2017-02-15	3
2017-02-25	1
2017-02-26	1
2017-02-27	1
2017-03-01	445
2017-03-02	246
2017-03-03	88
2017-03-04	4
2017-03-06	1
2017-03-10	1
2017-03-12	2
2017-03-21	1
2017-03-24	1
2017-03-26	2
2017-03-31	1
2017-04-02	2
2017-04-08	2
2017-04-09	2
2017-04-10	1
2017-04-23	2
2017-04-27	1
2017-05-05	2
2017-05-06	2
2017-05-15	1
2017-05-20	1
2017-05-26	1
2017-06-03	1
2017-06-06	1
2017-06-17	1
2017-06-18	1
2017-06-20	1
2017-06-22	1
2017-06-26	1
2017-06-30	1
2017-07-02	3
2017-07-05	2
2017-07-11	2
2017-07-12	1
2017-08-02	2
2017-08-04	1
2017-08-07	1
2017-08-12	1
2017-08-13	2
2017-08-14	1
2017-08-15	1
2017-08-16	1
2017-08-22	3
2017-08-27	1
2017-08-28	1
2017-08-29	1
2017-08-30	1
2017-09-02	1
2017-09-03	3
2017-09-10	1
2017-09-11	1
2017-09-12	1
2017-09-18	2
2017-09-21	1
2017-09-22	1
2017-09-24	1
2017-09-25	1
2017-09-26	4
2017-09-27	1
2017-10-01	5
2017-10-06	2
2017-10-07	1
2017-10-09	1
2017-10-12	1
2017-10-13	1
2017-10-14	1
2017-10-17	4
2017-10-21	1
2017-10-23	2
2017-10-24	1
2017-10-29	1
2017-11-02	2
2017-11-03	1
2017-11-13	1
2017-11-18	2
2017-11-21	2
2017-11-24	3
2017-11-27	5
2017-11-29	1
2017-11-30	2
2017-12-01	4
2017-12-05	2
2017-12-08	21
2017-12-09	15
2017-12-10	183
2017-12-11	71
2017-12-12	80
2017-12-13	27
2017-12-14	17
2017-12-15	33
2017-12-16	53
2017-12-17	13
2017-12-18	7
2017-12-19	23
2017-12-20	71
2017-12-21	27
2017-12-22	89
2017-12-23	81
2017-12-24	33
2017-12-25	92
2017-12-26	47
2017-12-27	49
2017-12-28	41
2017-12-29	30
2017-12-30	44
2017-12-31	52
2018-01-01	10
2018-01-02	22
2018-01-03	86
2018-01-04	56
2018-01-05	36
2018-01-06	66
2018-01-07	52
2018-01-08	44
2018-01-09	55
2018-01-10	35
2018-01-11	40
2018-01-12	45
2018-01-13	46
2018-01-14	27
2018-01-15	33
2018-01-16	61
2018-01-17	61
2018-01-18	50
2018-01-19	51
2018-01-20	43
2018-01-21	62
2018-01-22	48
2018-01-23	32
2018-01-24	53
2018-01-25	41
2018-01-26	35
2018-01-27	61
2018-01-28	71
2018-01-29	42
2018-01-30	70
2018-01-31	39
2018-02-01	34
2018-02-02	48
2018-02-03	27
2018-02-04	51
2018-02-05	24
2018-02-06	60
2018-02-07	61
2018-02-08	38
2018-02-09	63
2018-02-10	56
2018-02-11	32
2018-02-12	22
2018-02-13	90
2018-02-14	37
2018-02-15	46
2018-02-16	43
2018-02-17	34
2018-02-18	59
2018-02-19	45
2018-02-20	46
2018-02-21	33
2018-02-22	80
2018-02-23	56
2018-02-24	51
2018-02-25	70
2018-02-26	56
2018-02-27	61
2018-02-28	22
2018-03-01	33
2018-03-02	37
2018-03-03	60
2018-03-04	46
2018-03-05	39
2018-03-06	43
2018-03-07	25
2018-03-08	43
2018-03-09	57
2018-03-10	48
2018-03-11	43
2018-03-12	44
2018-03-13	44
2018-03-14	45
2018-03-15	41
2018-03-16	70
2018-03-17	40
2018-03-18	44
2018-03-19	56
2018-03-20	48
2018-03-21	73
2018-03-22	65
2018-03-23	37
2018-03-24	49
2018-03-25	74
2018-03-26	42
2018-03-27	53
2018-03-28	53
2018-03-29	49
2018-03-30	53
2018-03-31	66
2018-04-01	51
2018-04-02	47
2018-04-03	39
2018-04-04	58
