edit_month	page_id	page_title	edit_count
2015-01	646361	बजरंगी_भाईजान	135
2015-01	97211	जड़ी-बूटी	89
2015-01	613617	आदिवासी_साहित्य	54
2015-01	27305	रामदेव	51
2015-01	10636	१८५७_का_प्रथम_भारतीय_स्वतंत्रता_संग्राम	46
2015-01	103788	हरीतकी	45
2015-01	648857	फैंटम_(2015_फिल्म)	44
2015-01	19787	कुँवर_सिंह	42
2015-01	2326	प्यारा_केरकेट्टा	37
2015-01	41651	प्लेट_विवर्तनिकी	37
2015-02	543813	२०१५_क्रिकेट_विश्व_कप	188
2015-02	623216	इंद्रप्रस्थ_सूचना_प्रौद्योगिकी_संस्थान	187
2015-02	614967	विकासात्मक_मनोविज्ञान	66
2015-02	2242	नीम	62
2015-02	620092	भारत_में_अन्धविश्वास	60
2015-02	646361	बजरंगी_भाईजान	58
2015-02	53780	मनोज_तिवारी_(अभिनेता)	55
2015-02	620774	संचार_व्यवस्था	50
2015-02	103788	हरीतकी	49
2015-02	657250	रफ़्तार_(रैपर)	46
2015-03	643273	एन_एच_10	186
2015-03	543813	२०१५_क्रिकेट_विश्व_कप	105
2015-03	626629	पतंजलि_फूड_एवं_हर्बल_पार्क	89
2015-03	626391	दीमापुर_भीड़_अपहनन_२०१५	84
2015-03	656790	राधिका_मदन	60
2015-03	629598	चंग_नृत्य	46
2015-03	647080	एबीसीडी_2	44
2015-03	627530	योग_संदेश	43
2015-03	1289	योग	40
2015-03	626203	इंडियाज़_डॉटर	40
2015-04	78025	भारतीय_सिनेमा	109
2015-04	637190	अप्रैल_2015_नेपाल_भूकम्प	83
2015-04	647080	एबीसीडी_2	79
2015-04	589095	आचार्यकुलम	78
2015-04	482615	माजुली_द्वीप	72
2015-04	643273	एन_एच_10	65
2015-04	593437	चकेरी_सवाई_माधोपुर	57
2015-04	643600	तनु_वेड्स_मनु_रिटर्न्स	57
2015-04	645120	इश्केदारियां	56
2015-04	510925	जलालपुर_जट्टां	43
2015-05	647080	एबीसीडी_2	202
2015-05	646361	बजरंगी_भाईजान	188
2015-05	643600	तनु_वेड्स_मनु_रिटर्न्स	147
2015-05	647788	ब्रदर्स_(2015_फ़िल्म)	117
2015-05	644658	२०१५_यूईएफए_यूरोपा_लीग_फाइनल	113
2015-05	639642	पतंजलि_आयुर्वेद	95
