edit_month	page_id	page_title	edit_count
2015-01	14845	Edmond_Debeaumarché	7
2015-01	13297	Kieu	3
2015-01	13268	Bucharest	2
2015-01	8045	Ngāti_Kurapoto	2
2015-01	14761	Trojany	1
2015-01	14735	University_Hiperu_o_Hiruharama	1
2015-01	14698	Guatimac	1
2015-01	12196	Reo_Asturias	1
2015-01	4601	Te_Moana-a-Toi	1
2015-01	14817	Céline_Dion	1
2015-02	14848	Sergio_Mattarella	2
2015-02	14863	VietJet_Air	2
2015-02	675	Ōtepoti	2
2015-02	13212	Koroātia	1
2015-02	1065	Te_Atairangikaahu	1
2015-02	14596	Bukan	1
2015-02	13886	Sargodha	1
2015-02	13226	Poho_o_Pita	1
2015-02	12285	Itāria	1
2015-02	14061	Moutere_Aranga	1
2015-03	14468	Sandy	3
2015-03	13700	Reo_Huitene	3
2015-03	4850	Araka	2
2015-03	3639	Reo_Kōrea	2
2015-03	4820	Whoreta	2
2015-03	4511	Cantabria	1
2015-03	5878	Newara	1
2015-03	12911	Kānapera	1
2015-03	13263	Minsk	1
2015-03	13526	Mēhiko	1
2015-04	14932	Kyrkslätt	2
2015-04	13174	Etonia	2
2015-04	14925	Ohcejohka	2
2015-04	14019	Reo_Pōtikī	2
2015-04	14927	Enontekiö	1
2015-04	14048	Rio_de_Janeiro	1
2015-04	14926	Eanodat	1
2015-04	14029	Parīhi	1
2015-04	12475	Heretaunga	1
2015-04	14930	Närpes	1
2015-05	9296	Paerata	10
2015-05	13525	Canada	2
2015-05	4850	Araka	2
2015-05	3360	Te_Whanga-nui-a-Tara	2
2015-05	1010	Ngāti_Kahungunu	2
2015-05	12482	Ngāmotu	2
2015-05	14942	Kuipeka	2
2015-05	1057	Maramataka	2
2015-05	4873	Itaho	2
2015-05	665	Aotearoa	2
2015-06	1065	Te_Atairangikaahu	3
2015-06	13540	Barack_Obama	3
2015-06	13848	Mumbai	1
2015-06	13231	Rakapuō	1
2015-06	13953	Pākaratēhi	1
2015-06	14946	Helsingfors	1
2015-06	13768	Kyoto	1
2015-06	13160	Whinirana	1
2015-07	12782	Te_Kura_Teitei_o_Hāto_Petera	3
2015-07	1114	Nipono	2
2015-07	1010	Ngāti_Kahungunu	2
2015-07	1144	Ahitereiria	2
2015-07	1035	Wairarapa	2
2015-07	8068	Ngāti_Uenuku_(Ngāti_Tūwharetoa_ki_Tongariro)	2
2015-07	14953	Łobez	1
2015-07	13542	Whiratarawhia	1
2015-07	13216	Kirihi	1
2015-07	1033	Kīngitanga_Kotahi	1
2015-08	12915	Hononga-o-Amerika	10
2015-08	14737	Hiruharama_(City)	6
2015-08	14968	Wharetaonga_o_ngā_Whenua_Paipera	5
2015-08	6257	Te_Whānau-a-Umuariki	4
2015-08	14994	Mickey_Mouse	4
2015-08	12285	Itāria	4
2015-08	1601	Tiamana	3
2015-08	14993	Sesame_Street	3
2015-08	12256	Wīwī	3
2015-08	1548	Pāniora	3
2015-09	15008	Ao_o_Kiwa	3
2015-09	8189	Ngāti_Hinearo	2
2015-09	8200	Ngāti_Tuera	2
2015-09	15007	North_America	2
2015-09	13162	Rāwhia	2
2015-09	13734	Kōrea-ki-te-raki	2
2015-09	15005	Africa	2
2015-09	14998	Te_Reo_Tātaki_o_Aotearoa	1
2015-09	15001	U.S.	1
2015-09	12067	Koromiko_(Tauihu)	1
