edit_month	page_id	page_title	edit_count
2015-01	181386	తెలుగు_పత్రికల_జాబితా	181
2015-01	157880	లఖింపూర్_ఖేరి_జిల్లా	96
2015-01	111015	వీటూరి	94
2015-01	159048	గుంటూరు_రైల్వే_డివిజను	83
2015-01	182682	దక్షిణ_మధ్య_రైల్వే_రైళ్ళు	80
2015-01	84781	ఆది_పరాశక్తి	70
2015-01	66308	అనెలిడా	70
2015-01	77378	జరాయువు	63
2015-01	3086	పురాణాలు	58
2015-01	157845	బారాబంకీ_జిల్లా	58
2015-02	184726	తిరుమల_తిరుపతి_దేవస్థానం_ప్రచురించిన_గ్రంథాలు	185
2015-02	113893	గుజరాత్_బ్రాహ్మణ_శాఖలు	124
2015-02	183383	తంత్ర_దర్శనము	114
2015-02	185996	గాడ్గే_బాబా	74
2015-02	48409	మహాశివరాత్రి	72
2015-02	167439	కోలారు_జిల్లా	67
2015-02	185083	భారతదేశం_లోని_రైల్వే_పాఠశాలల_జాబితా	62
2015-02	184125	భారతీయ_రైల్వే_డివిజన్లు	59
2015-02	184596	హైదరాబాదు_ఎం.ఎం.టి.ఎస్	59
2015-02	2400	ఉడిపి_జిల్లా	58
2015-03	112238	దిగవల్లి_వేంకటశివరావు	143
2015-03	157845	బారాబంకీ_జిల్లా	126
2015-03	92042	చందమామ_కథలు	100
2015-03	153014	సీసము_(మూలకము)	100
2015-03	64933	లిథియం	94
2015-03	177383	బేరియం	92
2015-03	64977	తుత్తునాగము	89
2015-03	60611	కాల్షియం	86
2015-03	142013	ఆలివ్_నూనె	85
2015-03	64984	రుబీడియం	84
2015-04	193614	మల్లి_మస్తాన్_బాబు	175
2015-04	64947	కోబాల్ట్	147
2015-04	177336	ఇరీడియం	142
2015-04	145674	జిర్కోనియం	131
2015-04	177421	క్యూరియం	123
2015-04	177420	అమెరీషియం	119
2015-04	64946	నికెల్	115
2015-04	64980	ఆర్సెనిక్	114
2015-04	116303	ఆస్మియం	111
2015-04	177423	కాలిఫోర్నియం	109
2015-05	60288	మంగోలియా	153
2015-05	60235	బంగ్లాదేశ్	142
2015-05	203334	రేడాన్	122
2015-05	64944	క్రోమియం	110
2015-05	203979	అన్నా_రీటా_దెల్_పియానో	90
2015-05	194026	మొహమ్మద్_షా	85
2015-05	64983	క్రిప్టాన్	82
2015-05	106769	ఇండియన్_ఇన్‌స్టిట్యూట్_ఆఫ్_టెక్నాలజీ_మద్రాస్	56
2015-05	201820	కేబుల్_టీవీ	48
2015-05	75217	టిబెట్	47
2015-06	205156	రాజమండ్రి_పుష్కరాలు_2015	210
2015-06	204980	భమిడి_కమలాదేవి	81
2015-06	205045	పొటాషియం_క్లోరెట్	70
2015-06	204788	అంకుల్_టామ్స్_క్యాబిన్	68
2015-06	205269	పుల్లెల_శ్రీరామచంద్రుడు	68
2015-06	31768	ఆర్తీ_అగర్వాల్	56
2015-06	157944	తౌబాల్_జిల్లా	49
2015-06	205092	పొటాషియం_బ్రోమైడ్	46
2015-06	204545	జాన్_ఎవరెట్_క్లౌ	45
2015-06	205109	ఆచార్య_ఫణీంద్ర	44
2015-07	206736	అమ్మోనియా	328
2015-07	1525	పాకిస్తాన్	216
2015-07	206872	బేరియం_సల్ఫేట్	132
2015-07	206256	వాసిరెడ్డి_దుర్గాసదాశివేశ్వర_ప్రసాద్	116
2015-07	207054	బేరియం_హైడ్రాక్సైడ్	99
2015-07	207111	బేరియం_కార్బొనేట్	97
2015-07	206139	అమ్మోనియం_నైట్రేట్	94
2015-07	35921	మూగ_మనసులు_(1964_సినిమా)	93
2015-07	206272	అమ్మోనియం_బైకార్బొనేట్	91
2015-07	206315	అమ్మోనియం_హైడ్రాక్సైడ్	89
2015-08	207718	కార్బన్_మొనాక్సైడ్	311
2015-08	209151	కాపర్(II)_సల్ఫేట్	176
2015-08	207816	కార్బన్_టెట్రాక్లోరైడ్	175
2015-08	209180	కాపర్(II)_క్లోరైడ్	173
2015-08	208082	కార్బొనైల్_క్లోరైడ్	153
2015-08	1530	చైనా	145
2015-08	207145	బేరియం_నైట్రేట్	126
2015-08	208533	కార్బోక్సిలిక్_ఆమ్లం	120
2015-08	209402	డైక్లోరిన్_మొనాక్సైడ్	111
2015-08	207969	కార్బొనైల్_సల్ఫైడ్	108
2015-09	209537	హైడ్రాజీన్	181
2015-09	210275	జీఎస్‌ఎల్‌వి-D2_ఉపగ్రహ_వాహకనౌక	176
2015-09	210088	జిఎస్‌ఎల్‌వి	170
2015-09	1532	ఇరాన్	169
2015-09	185089	ఈశాన్య_సరిహద్దు_రైల్వే	166
2015-09	211007	పిఎస్‌ఎల్‌వి-సీ30_ఉపగ్రహ_వాహకనౌక	135
2015-09	210118	డైనైట్రోజన్_టెట్రాక్సైడ్	119
2015-09	210383	నైట్రోజన్_డయాక్సైడ్	102
2015-09	211031	పిఎస్ఎల్‌వి-C4_ఉపగ్రహ_వాహకనౌక	91
2015-09	210108	జీఎస్‌ఎల్‌వి-F04_ఉపగ్రహ_వాహకనౌక	88
2015-10	183904	భారతదేశ_ప్రయాణీకుల_రైళ్లు_జాబితా	2817
2015-10	185018	సికింద్రాబాద్_జంక్షన్_రైల్వే_స్టేషను	437
2015-10	211158	నైరుతి_రైల్వే	209
2015-10	60281	కజకస్తాన్	152
2015-10	212312	అల్యూమినియం_ఆక్సైడ్	124
2015-10	211750	భారతీయ_రైల్వేలు_రైళ్లు_జాబితా	114
2015-10	211617	కాల్షియం_కార్బైడ్	111
2015-10	1535	ఉజ్బెకిస్తాన్	103
2015-10	212118	అల్యూమినియం_క్లోరైడ్	103
2015-10	212428	పిఎస్ఎల్‌వి-సీ19_ఉపగ్రహ_వాహకనౌక	85
2015-11	183904	భారతదేశ_ప్రయాణీకుల_రైళ్లు_జాబితా	344
2015-11	211155	భారతదేశం_ప్రముఖ_ప్రయాణీకుల_రైళ్లు_జాబితా	218
2015-11	55087	ఆర్మేనియా	143
2015-11	212968	కుమారజీవుడు	130
2015-11	214038	డెక్కన్_క్వీన్_ఎక్స్‌ప్రెస్	117
2015-11	212818	డార్జిలింగ్_మెయిల్	101
2015-11	213350	పురుష_లైంగికత	85
2015-11	213900	సికింద్రాబాద్_రాజధాని_ఎక్స్‌ప్రెస్	81
2015-11	60283	కిర్గిజిస్తాన్	80
2015-11	214115	అనంతపురం_జిల్లా_పర్యాటకరంగం	73
2015-12	60279	ఇజ్రాయిల్	196
