month_year	total_new_users
	354
01-2006	33
01-2007	57
01-2008	198
01-2009	1136
01-2010	1348
01-2011	1627
01-2012	2212
01-2013	1774
01-2014	2937
01-2015	5278
01-2016	4506
01-2017	5324
01-2018	6687
01-2019	8495
01-2020	8060
01-2021	5980
01-2022	6288
01-2023	6053
01-2024	4965
01-2025	3764
02-2006	33
02-2007	117
02-2008	189
02-2009	1062
02-2010	1255
02-2011	1408
02-2012	1759
02-2013	1636
02-2014	2086
02-2015	4463
02-2016	3372
02-2017	5145
02-2018	6684
02-2019	7165
02-2020	7097
02-2021	5911
02-2022	5522
02-2023	5233
02-2024	4228
02-2025	3029
03-2006	32
03-2007	153
03-2008	262
03-2009	1194
03-2010	1330
03-2011	1395
03-2012	1571
03-2013	1655
03-2014	2150
03-2015	4366
03-2016	3300
03-2017	5341
03-2018	5689
03-2019	8179
03-2020	7537
03-2021	5420
03-2022	4997
03-2023	5891
03-2024	3678
03-2025	3073
04-2006	30
04-2007	187
04-2008	196
04-2009	1051
04-2010	1179
04-2011	1429
04-2012	1451
04-2013	1541
04-2014	2187
04-2015	5850
04-2016	3269
04-2017	4878
04-2018	6159
04-2019	5876
04-2020	9856
04-2021	4505
04-2022	4224
04-2023	5917
04-2024	3388
04-2025	2463
05-2006	37
05-2007	141
05-2008	292
05-2009	1088
05-2010	1068
05-2011	1411
05-2012	1637
05-2013	1578
05-2014	3009
05-2015	4760
05-2016	3405
05-2017	4793
05-2018	7153
05-2019	5914
05-2020	8936
05-2021	5621
05-2022	5154
05-2023	5016
05-2024	3400
05-2025	2749
06-2006	47
06-2007	176
06-2008	533
06-2009	1149
06-2010	1256
06-2011	1679
06-2012	1763
06-2013	1572
06-2014	3620
06-2015	5470
06-2016	3634
06-2017	5397
06-2018	7047
06-2019	6822
06-2020	7913
06-2021	5499
06-2022	5387
06-2023	4777
06-2024	4081
06-2025	3010
07-2006	42
07-2007	198
07-2008	584
07-2009	1002
07-2010	1382
07-2011	1827
07-2012	1880
07-2013	2054
07-2014	4242
07-2015	5053
07-2016	3462
07-2017	5941
07-2018	8948
07-2019	7181
07-2020	7556
07-2021	5709
07-2022	5321
07-2023	5164
07-2024	3988
07-2025	4475
08-2006	58
08-2007	263
08-2008	705
08-2009	1209
08-2010	1293
08-2011	2033
08-2012	2090
08-2013	2357
08-2014	5406
08-2015	4797
08-2016	4001
08-2017	5896
08-2018	11089
08-2019	9215
08-2020	7493
08-2021	5511
08-2022	4860
08-2023	5313
08-2024	3678
08-2025	4376
09-2006	84
09-2007	200
09-2008	1016
09-2009	1118
09-2010	1382
09-2011	1961
09-2012	1915
09-2013	2104
09-2014	4919
09-2015	4682
09-2016	3934
09-2017	6070
09-2018	11372
09-2019	9821
09-2020	6818
09-2021	6773
09-2022	5257
09-2023	4740
09-2024	3647
09-2025	1879
10-2006	74
10-2007	249
10-2008	1026
10-2009	1101
10-2010	1318
10-2011	1825
10-2012	2040
10-2013	2440
10-2014	4741
10-2015	4552
10-2016	4022
10-2017	5723
10-2018	10027
10-2019	10204
10-2020	5077
10-2021	5968
10-2022	5461
10-2023	4752
10-2024	3638
11-2006	71
11-2007	135
11-2008	925
11-2009	1151
11-2010	1328
11-2011	1914
11-2012	1936
11-2013	2257
11-2014	5180
11-2015	4418
11-2016	4587
11-2017	6365
11-2018	8431
11-2019	8808
11-2020	4136
11-2021	5059
11-2022	5048
11-2023	4242
11-2024	2927
12-2005	10
12-2006	74
12-2007	130
12-2008	831
12-2009	1104
12-2010	1264
12-2011	1856
12-2012	1750
12-2013	2548
12-2014	4996
12-2015	4391
12-2016	4641
12-2017	6706
12-2018	8966
12-2019	9268
12-2020	5059
12-2021	5723
12-2022	5582
12-2023	4260
12-2024	3445
