month_year	total_new_users
	191
01-2006	51
01-2007	150
01-2008	251
01-2009	520
01-2010	618
01-2011	821
01-2012	981
01-2013	1189
01-2014	917
01-2015	1011
01-2016	1102
01-2017	1025
01-2018	996
01-2019	1276
01-2020	1291
01-2021	888
01-2022	961
01-2023	978
01-2024	790
01-2025	627
02-2006	27
02-2007	116
02-2008	182
02-2009	407
02-2010	673
02-2011	657
02-2012	839
02-2013	911
02-2014	670
02-2015	887
02-2016	790
02-2017	895
02-2018	2245
02-2019	1194
02-2020	1068
02-2021	786
02-2022	853
02-2023	923
02-2024	694
02-2025	661
03-2006	34
03-2007	132
03-2008	205
03-2009	434
03-2010	709
03-2011	632
03-2012	931
03-2013	787
03-2014	683
03-2015	965
03-2016	825
03-2017	1021
03-2018	953
03-2019	1215
03-2020	1391
03-2021	866
03-2022	804
03-2023	912
03-2024	754
03-2025	666
04-2006	29
04-2007	143
04-2008	146
04-2009	428
04-2010	831
04-2011	634
04-2012	826
04-2013	848
04-2014	684
04-2015	1102
04-2016	728
04-2017	892
04-2018	1159
04-2019	798
04-2020	1519
04-2021	750
04-2022	714
04-2023	803
04-2024	602
04-2025	575
05-2006	36
05-2007	156
05-2008	265
05-2009	464
05-2010	578
05-2011	706
05-2012	789
05-2013	833
05-2014	652
05-2015	1023
05-2016	825
05-2017	1058
05-2018	1189
05-2019	829
05-2020	1290
05-2021	1153
05-2022	914
05-2023	826
05-2024	684
05-2025	613
06-2006	118
06-2007	121
06-2008	433
06-2009	877
06-2010	641
06-2011	783
06-2012	1025
06-2013	775
06-2014	769
06-2015	1330
06-2016	835
06-2017	1023
06-2018	1121
06-2019	1033
06-2020	1320
06-2021	1077
06-2022	892
06-2023	824
06-2024	772
06-2025	577
07-2006	111
07-2007	160
07-2008	399
07-2009	565
07-2010	657
07-2011	708
07-2012	1203
07-2013	960
07-2014	992
07-2015	1233
07-2016	856
07-2017	1133
07-2018	1544
07-2019	1161
07-2020	1251
07-2021	986
07-2022	919
07-2023	888
07-2024	809
07-2025	558
08-2006	95
08-2007	120
08-2008	417
08-2009	582
08-2010	616
08-2011	665
08-2012	1107
08-2013	938
08-2014	1204
08-2015	1011
08-2016	943
08-2017	909
08-2018	1465
08-2019	1187
08-2020	1208
08-2021	866
08-2022	814
08-2023	857
08-2024	741
08-2025	578
09-2006	68
09-2007	1437
09-2008	469
09-2009	484
09-2010	565
09-2011	611
09-2012	942
09-2013	708
09-2014	959
09-2015	926
09-2016	768
09-2017	1087
09-2018	1538
09-2019	1189
09-2020	999
09-2021	926
09-2022	811
09-2023	775
09-2024	607
09-2025	447
10-2006	90
10-2007	285
10-2008	468
10-2009	582
10-2010	667
10-2011	835
10-2012	998
10-2013	810
10-2014	1067
10-2015	1042
10-2016	986
10-2017	1137
10-2018	1566
10-2019	1319
10-2020	861
10-2021	1200
10-2022	918
10-2023	749
10-2024	601
11-2006	69
11-2007	206
11-2008	441
11-2009	553
11-2010	874
11-2011	850
11-2012	868
11-2013	895
11-2014	1289
11-2015	1014
11-2016	950
11-2017	1109
11-2018	1506
11-2019	1229
11-2020	789
11-2021	911
11-2022	848
11-2023	857
11-2024	967
12-2005	11
12-2006	78
12-2007	227
12-2008	418
12-2009	491
12-2010	661
12-2011	868
12-2012	1544
12-2013	936
12-2014	1005
12-2015	999
12-2016	896
12-2017	1889
12-2018	1420
12-2019	1242
12-2020	824
12-2021	817
12-2022	858
12-2023	754
12-2024	4014
